Compound,Linear_R2,Poly_R2,RF_R2,Linear_DegRate
MEDIUM,0.5085107681466647,0.5342020390825113,0.8935563007854956,0.18587878787878828
SOFT,0.5810145277891956,0.7631462632394062,0.8989964088277119,0.09483636363636362
