Strategy,PitLaps,RaceTime
HARD-MEDIUM-SOFT,"[21, 34]",5646.146406060607
HARD-SOFT-MEDIUM,"[21, 44]",5646.146406060607
MEDIUM-HARD-SOFT,"[11, 32]",5646.146418181817
HARD-MEDIUM-SOFT,"[21, 32]",5646.146418181817
MEDIUM-SOFT-HARD,"[11, 36]",5646.146418181817
SOFT-MEDIUM-HARD,"[23, 38]",5646.202169696969
MEDIUM-SOFT-HARD,"[15, 38]",5646.202169696969
MEDIUM-HARD-SOFT,"[15, 34]",5646.20216969697
SOFT-HARD-MEDIUM,"[23, 42]",5646.20216969697
HARD-SOFT-MEDIUM,"[19, 42]",5646.202169696971
HARD-MEDIUM-SOFT,"[19, 34]",5646.202169696971
MEDIUM-HARD-SOFT,"[15, 31]",5646.288678787877
MEDIUM-SOFT-HARD,"[15, 41]",5646.288678787878
HARD-MEDIUM-SOFT,"[16, 31]",5646.288678787879
HARD-SOFT-MEDIUM,"[16, 42]",5646.28867878788
MEDIUM-SOFT-HARD,"[10, 37]",5646.395660606059
MEDIUM-HARD-SOFT,"[10, 30]",5646.39566060606
HARD-MEDIUM-SOFT,"[20, 30]",5646.395660606062
MEDIUM-SOFT-HARD,"[11, 40]",5646.429436363635
MEDIUM-HARD-SOFT,"[11, 28]",5646.429436363636
HARD-MEDIUM-SOFT,"[17, 28]",5646.429436363638
MEDIUM-SOFT-HARD,"[12, 41]",5646.448024242423
HARD-MEDIUM-SOFT,"[16, 28]",5646.448024242425
MEDIUM-HARD-SOFT,"[12, 28]",5646.448024242425
MEDIUM-SOFT-HARD,"[10, 38]",5646.448775757574
MEDIUM-HARD-SOFT,"[10, 29]",5646.448775757576
HARD-MEDIUM-SOFT,"[19, 29]",5646.448775757576
SOFT-MEDIUM-HARD,"[22, 36]",5646.567472727272
MEDIUM-SOFT-HARD,"[14, 36]",5646.567472727272
SOFT-HARD-MEDIUM,"[22, 43]",5646.567472727272
MEDIUM-HARD-SOFT,"[14, 35]",5646.567472727273
HARD-SOFT-MEDIUM,"[21, 43]",5646.5674727272735
HARD-MEDIUM-SOFT,"[21, 35]",5646.567472727274
MEDIUM-SOFT-HARD,"[10, 36]",5646.567496969696
HARD-MEDIUM-SOFT,"[21, 31]",5646.567496969697
MEDIUM-HARD-SOFT,"[10, 31]",5646.567496969697
MEDIUM-HARD-SOFT,"[12, 34]",5646.592515151515
SOFT-MEDIUM-HARD,"[23, 35]",5646.592515151515
MEDIUM-SOFT-HARD,"[12, 35]",5646.592515151516
HARD-MEDIUM-SOFT,"[22, 34]",5646.592515151517
MEDIUM-HARD-SOFT,"[15, 35]",5646.623236363635
SOFT-MEDIUM-HARD,"[22, 37]",5646.623236363635
SOFT-HARD-MEDIUM,"[22, 42]",5646.623236363635
MEDIUM-SOFT-HARD,"[15, 37]",5646.623236363635
HARD-MEDIUM-SOFT,"[20, 35]",5646.623236363637
HARD-SOFT-MEDIUM,"[20, 42]",5646.623236363638
MEDIUM-SOFT-HARD,"[14, 42]",5646.634654545453
MEDIUM-HARD-SOFT,"[14, 29]",5646.6346545454535
HARD-SOFT-MEDIUM,"[15, 43]",5646.634654545455
HARD-MEDIUM-SOFT,"[15, 29]",5646.634654545455
SOFT-MEDIUM-HARD,"[24, 40]",5646.638042424242
SOFT-MEDIUM-HARD,"[24, 35]",5646.638042424242
MEDIUM-SOFT-HARD,"[11, 35]",5646.638042424242
MEDIUM-HARD-SOFT,"[11, 33]",5646.638042424242
SOFT-HARD-MEDIUM,"[24, 41]",5646.638042424242
MEDIUM-HARD-SOFT,"[16, 33]",5646.638042424242
MEDIUM-SOFT-HARD,"[16, 40]",5646.638042424242
HARD-SOFT-MEDIUM,"[17, 41]",5646.638042424243
HARD-MEDIUM-SOFT,"[17, 33]",5646.638042424243
HARD-MEDIUM-SOFT,"[22, 33]",5646.638042424243
SOFT-HARD-MEDIUM,"[23, 41]",5646.704042424241
MEDIUM-SOFT-HARD,"[16, 39]",5646.704042424242
HARD-MEDIUM-SOFT,"[18, 34]",5646.704042424242
SOFT-MEDIUM-HARD,"[23, 39]",5646.704042424242
MEDIUM-HARD-SOFT,"[16, 34]",5646.704042424242
HARD-SOFT-MEDIUM,"[18, 41]",5646.704042424244
MEDIUM-SOFT-HARD,"[10, 39]",5646.726842424242
HARD-MEDIUM-SOFT,"[18, 28]",5646.726842424243
MEDIUM-HARD-SOFT,"[10, 28]",5646.726842424243
MEDIUM-HARD-SOFT,"[15, 30]",5646.7674181818165
MEDIUM-SOFT-HARD,"[15, 42]",5646.767418181817
HARD-MEDIUM-SOFT,"[15, 30]",5646.767418181818
HARD-SOFT-MEDIUM,"[15, 42]",5646.767418181819
MEDIUM-SOFT-HARD,"[13, 42]",5646.782606060605
MEDIUM-HARD-SOFT,"[13, 28]",5646.782606060606
HARD-SOFT-MEDIUM,"[15, 44]",5646.782606060607
HARD-MEDIUM-SOFT,"[15, 28]",5646.782606060608
MEDIUM-SOFT-HARD,"[16, 41]",5646.796993939392
HARD-MEDIUM-SOFT,"[16, 32]",5646.796993939393
MEDIUM-HARD-SOFT,"[16, 32]",5646.796993939393
HARD-SOFT-MEDIUM,"[16, 41]",5646.796993939394
SOFT-HARD-MEDIUM,"[22, 44]",5646.827703030302
MEDIUM-SOFT-HARD,"[13, 35]",5646.8277030303025
SOFT-MEDIUM-HARD,"[22, 35]",5646.8277030303025
MEDIUM-HARD-SOFT,"[13, 35]",5646.827703030303
HARD-MEDIUM-SOFT,"[22, 35]",5646.827703030303
HARD-SOFT-MEDIUM,"[22, 44]",5646.827703030304
MEDIUM-HARD-SOFT,"[10, 32]",5646.964284848484
MEDIUM-SOFT-HARD,"[10, 35]",5646.964284848485
HARD-MEDIUM-SOFT,"[22, 32]",5646.9642848484855
MEDIUM-SOFT-HARD,"[16, 38]",5646.994993939393
SOFT-MEDIUM-HARD,"[22, 38]",5646.994993939393
SOFT-HARD-MEDIUM,"[22, 41]",5646.994993939393
MEDIUM-HARD-SOFT,"[16, 35]",5646.994993939394
HARD-MEDIUM-SOFT,"[19, 35]",5646.9949939393955
HARD-SOFT-MEDIUM,"[19, 41]",5646.9949939393955
MEDIUM-SOFT-HARD,"[11, 41]",5647.062569696968
MEDIUM-HARD-SOFT,"[11, 27]",5647.06256969697
HARD-MEDIUM-SOFT,"[16, 27]",5647.06256969697
MEDIUM-SOFT-HARD,"[16, 42]",5647.180896969696
HARD-MEDIUM-SOFT,"[15, 31]",5647.180896969697
