Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTimeSec
0 days 01:04:12.951000,NOR,4,0 days 00:01:39.207000,18.0,2,,,0 days 00:00:31.757000,0 days 00:00:42.702000,0 days 00:00:24.748000,0 days 01:03:05.501000,0 days 01:03:48.203000,0 days 01:04:12.951000,230.0,247.0,267.0,284.0,False,SOFT,12.0,False,McLaren,0 days 01:02:33.744000,2022-03-18 15:47:33.776,1,,False,,False,True,99.207
0 days 01:05:53.123000,NOR,4,0 days 00:01:40.172000,19.0,2,,,0 days 00:00:32.249000,0 days 00:00:43.139000,0 days 00:00:24.784000,0 days 01:04:45.200000,0 days 01:05:28.339000,0 days 01:05:53.123000,230.0,256.0,270.0,281.0,False,SOFT,13.0,False,McLaren,0 days 01:04:12.951000,2022-03-18 15:49:12.983,1,,False,,False,True,100.172
0 days 01:07:32.684000,NOR,4,0 days 00:01:39.561000,20.0,2,,,0 days 00:00:31.859000,0 days 00:00:42.847000,0 days 00:00:24.855000,0 days 01:06:24.982000,0 days 01:07:07.829000,0 days 01:07:32.684000,229.0,256.0,270.0,288.0,False,SOFT,14.0,False,McLaren,0 days 01:05:53.123000,2022-03-18 15:50:53.155,1,,False,,False,True,99.561
0 days 01:09:12.205000,NOR,4,0 days 00:01:39.521000,21.0,2,,,0 days 00:00:31.883000,0 days 00:00:42.755000,0 days 00:00:24.883000,0 days 01:08:04.567000,0 days 01:08:47.322000,0 days 01:09:12.205000,229.0,254.0,269.0,287.0,False,SOFT,15.0,False,McLaren,0 days 01:07:32.684000,2022-03-18 15:52:32.716,1,,False,,False,True,99.521
0 days 01:10:51.865000,NOR,4,0 days 00:01:39.660000,22.0,2,,,0 days 00:00:31.961000,0 days 00:00:42.870000,0 days 00:00:24.829000,0 days 01:09:44.166000,0 days 01:10:27.036000,0 days 01:10:51.865000,229.0,251.0,268.0,285.0,False,SOFT,16.0,False,McLaren,0 days 01:09:12.205000,2022-03-18 15:54:12.237,1,,False,,False,True,99.66
0 days 01:12:32.029000,NOR,4,0 days 00:01:40.164000,23.0,2,,,0 days 00:00:32.029000,0 days 00:00:43.107000,0 days 00:00:25.028000,0 days 01:11:23.894000,0 days 01:12:07.001000,0 days 01:12:32.029000,229.0,252.0,269.0,285.0,False,SOFT,17.0,False,McLaren,0 days 01:10:51.865000,2022-03-18 15:55:51.897,1,,False,,False,True,100.164
0 days 01:14:12.401000,NOR,4,0 days 00:01:40.372000,24.0,2,,,0 days 00:00:32.240000,0 days 00:00:43.254000,0 days 00:00:24.878000,0 days 01:13:04.269000,0 days 01:13:47.523000,0 days 01:14:12.401000,228.0,245.0,268.0,261.0,False,SOFT,18.0,False,McLaren,0 days 01:12:32.029000,2022-03-18 15:57:32.061,1,,False,,False,True,100.372
0 days 01:15:53.715000,NOR,4,0 days 00:01:41.314000,25.0,2,,,0 days 00:00:32.494000,0 days 00:00:43.882000,0 days 00:00:24.938000,0 days 01:14:44.895000,0 days 01:15:28.777000,0 days 01:15:53.715000,223.0,245.0,269.0,271.0,False,SOFT,19.0,False,McLaren,0 days 01:14:12.401000,2022-03-18 15:59:12.433,1,,False,,False,True,101.314
0 days 01:01:27.207000,GAS,10,0 days 00:01:38.495000,15.0,2,,,0 days 00:00:31.397000,0 days 00:00:42.648000,0 days 00:00:24.450000,0 days 01:00:20.109000,0 days 01:01:02.757000,0 days 01:01:27.207000,226.0,250.0,268.0,288.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:59:48.712000,2022-03-18 15:44:48.744,1,,False,,False,True,98.495
0 days 01:03:05.912000,GAS,10,0 days 00:01:38.705000,16.0,2,,,0 days 00:00:31.521000,0 days 00:00:42.626000,0 days 00:00:24.558000,0 days 01:01:58.728000,0 days 01:02:41.354000,0 days 01:03:05.912000,223.0,250.0,268.0,283.0,False,SOFT,9.0,False,AlphaTauri,0 days 01:01:27.207000,2022-03-18 15:46:27.239,1,,False,,False,True,98.705
0 days 01:04:44.606000,GAS,10,0 days 00:01:38.694000,17.0,2,,,0 days 00:00:31.527000,0 days 00:00:42.526000,0 days 00:00:24.641000,0 days 01:03:37.439000,0 days 01:04:19.965000,0 days 01:04:44.606000,223.0,251.0,268.0,283.0,False,SOFT,10.0,False,AlphaTauri,0 days 01:03:05.912000,2022-03-18 15:48:05.944,1,,False,,False,True,98.694
0 days 01:06:24.138000,GAS,10,0 days 00:01:39.532000,18.0,2,,,0 days 00:00:31.657000,0 days 00:00:43.177000,0 days 00:00:24.698000,0 days 01:05:16.263000,0 days 01:05:59.440000,0 days 01:06:24.138000,223.0,238.0,269.0,283.0,False,SOFT,11.0,False,AlphaTauri,0 days 01:04:44.606000,2022-03-18 15:49:44.638,1,,False,,False,True,99.532
0 days 01:08:03.128000,GAS,10,0 days 00:01:38.990000,19.0,2,,,0 days 00:00:31.629000,0 days 00:00:42.831000,0 days 00:00:24.530000,0 days 01:06:55.767000,0 days 01:07:38.598000,0 days 01:08:03.128000,225.0,238.0,273.0,292.0,False,SOFT,12.0,False,AlphaTauri,0 days 01:06:24.138000,2022-03-18 15:51:24.170,1,,False,,False,True,98.99
0 days 01:09:41.978000,GAS,10,0 days 00:01:38.850000,20.0,2,,,0 days 00:00:31.480000,0 days 00:00:42.944000,0 days 00:00:24.426000,0 days 01:08:34.608000,0 days 01:09:17.552000,0 days 01:09:41.978000,230.0,245.0,272.0,292.0,False,SOFT,13.0,False,AlphaTauri,0 days 01:08:03.128000,2022-03-18 15:53:03.160,1,,False,,False,True,98.85
0 days 01:04:29.852000,PER,11,0 days 00:01:37.218000,12.0,2,,,0 days 00:00:31.170000,0 days 00:00:41.786000,0 days 00:00:24.262000,0 days 01:03:23.804000,0 days 01:04:05.590000,0 days 01:04:29.852000,222.0,255.0,268.0,290.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:02:52.634000,2022-03-18 15:47:52.666,1,,False,,False,True,97.218
0 days 01:06:07.813000,PER,11,0 days 00:01:37.961000,13.0,2,,,0 days 00:00:31.481000,0 days 00:00:41.840000,0 days 00:00:24.640000,0 days 01:05:01.333000,0 days 01:05:43.173000,0 days 01:06:07.813000,219.0,255.0,268.0,290.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:04:29.852000,2022-03-18 15:49:29.884,1,,False,,False,True,97.961
0 days 01:07:46.234000,PER,11,0 days 00:01:38.421000,14.0,2,,,0 days 00:00:31.678000,0 days 00:00:42.348000,0 days 00:00:24.395000,0 days 01:06:39.491000,0 days 01:07:21.839000,0 days 01:07:46.234000,226.0,255.0,268.0,290.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:06:07.813000,2022-03-18 15:51:07.845,1,,False,,False,True,98.421
